"Q1: Symfony's Form component can be used standalone (without the full framework).<br>**Type:** True / False<br>- [ ] A) True<br>- [ ] B) False";"**Correct Answer(s):** A"
"Q2: The recommended way to create a form in Symfony is:<br>**Type:** Single answer<br>- [ ] A) Write raw HTML<br>- [ ] B) Create a form type class extending `AbstractType` and use `$this->createForm()`<br>- [ ] C) Use JavaScript form generators<br>- [ ] D) Use Doctrine annotations";"**Correct Answer(s):** B"
"Q3: The `buildForm()` method receives which arguments?<br>**Type:** Single answer<br>- [ ] A) `(Request $request, Response $response)`<br>- [ ] B) `(FormBuilderInterface $builder, array $options)`<br>- [ ] C) `(FormInterface $form, array $data)`<br>- [ ] D) `(ContainerInterface $container)`";"**Correct Answer(s):** B"
"Q4: `$builder->add('name', TextType::class, ['label' => 'Full Name'])` does what?<br>**Type:** Single answer<br>- [ ] A) Creates a database column<br>- [ ] B) Adds a text input field named `name` with label `Full Name`<br>- [ ] C) Validates the name<br>- [ ] D) Creates a route";"**Correct Answer(s):** B"
"Q5: The standard pattern for handling form submission is:<br>**Type:** Single answer<br>- [ ] A) `$form->submit($request)` then `$form->isValid()`<br>- [ ] B) `$form->handleRequest($request)` then `$form->isSubmitted() && $form->isValid()`<br>- [ ] C) `$form->process($request)`<br>- [ ] D) `$form->bind($request)`";"**Correct Answer(s):** B"
"Q6: `$form->getData()` returns:<br>**Type:** Single answer<br>- [ ] A) The raw POST data<br>- [ ] B) The underlying object/array mapped from the form data (after transformers)<br>- [ ] C) A `Request` object<br>- [ ] D) An array of errors";"**Correct Answer(s):** B"
"Q7: All form types ultimately extend:<br>**Type:** Single answer<br>- [ ] A) `FormType`<br>- [ ] B) `AbstractType`<br>- [ ] C) `TextType`<br>- [ ] D) `InputType`";"**Correct Answer(s):** A"
"Q8: Which of these are built-in form types? (Select all)<br>**Type:** Multiple choice<br>- [ ] A) `TextType`<br>- [ ] B) `EmailType`<br>- [ ] C) `ChoiceType`<br>- [ ] D) `DateType`<br>- [ ] E) `FileType`<br>- [ ] F) `EntityType`";"**Correct Answer(s):** A, B, C, D, E, F"
"Q9: Form type guessing uses which sources to auto-detect the field type? (Select all)<br>**Type:** Multiple choice<br>- [ ] A) Validation constraints (e.g., `#[Assert\Email]` → `EmailType`)<br>- [ ] B) Doctrine metadata (column type)<br>- [ ] C) PHP type declarations<br>- [ ] D) The field name string";"**Correct Answer(s):** A, B"
"Q10: `{{ form(form) }}` renders:<br>**Type:** Single answer<br>- [ ] A) Only the form labels<br>- [ ] B) The entire form (opening tag, all fields, errors, closing tag)<br>- [ ] C) Only the submit button<br>- [ ] D) Only the form opening tag";"**Correct Answer(s):** B"
"Q11: Which Twig functions give granular control over form rendering? (Select all)<br>**Type:** Multiple choice<br>- [ ] A) `form_start(form)`<br>- [ ] B) `form_end(form)`<br>- [ ] C) `form_row(form.name)`<br>- [ ] D) `form_widget(form.name)`<br>- [ ] E) `form_label(form.name)`<br>- [ ] F) `form_errors(form.name)`";"**Correct Answer(s):** A, B, C, D, E, F"
"Q12: `form_row()` renders:<br>**Type:** Single answer<br>- [ ] A) Only the input widget<br>- [ ] B) Label + widget + errors for a single field (the full "row")<br>- [ ] C) Only the label<br>- [ ] D) Only the errors";"**Correct Answer(s):** B"
"Q13: Built-in form themes in Symfony include:<br>**Type:** Multiple choice<br>- [ ] A) `form_div_layout.html.twig`<br>- [ ] B) `form_table_layout.html.twig`<br>- [ ] C) `bootstrap_5_layout.html.twig`<br>- [ ] D) `tailwind_layout.html.twig`";"**Correct Answer(s):** A, B, C"
"Q14: You can apply a form theme to a single form with:<br>**Type:** Single answer<br>- [ ] A) `{% form_theme form 'mytheme.html.twig' %}`<br>- [ ] B) `{% theme form 'mytheme.html.twig' %}`<br>- [ ] C) `{{ form_theme(form, 'mytheme') }}`<br>- [ ] D) `{% set_theme form 'mytheme.html.twig' %}`";"**Correct Answer(s):** A"
"Q15: Symfony forms include CSRF protection by default.<br>**Type:** True / False<br>- [ ] A) True<br>- [ ] B) False";"**Correct Answer(s):** A"
"Q16: The hidden CSRF token field is named `_token` by default. How do you customize the token ID?<br>**Type:** Single answer<br>- [ ] A) Override `configureOptions()` with `'csrf_token_id' => 'my_custom_id'`<br>- [ ] B) Set `csrf_field_name` in `services.yaml`<br>- [ ] C) Override `getBlockPrefix()`<br>- [ ] D) It cannot be customized";"**Correct Answer(s):** A"
"Q17: To disable CSRF on a specific form:<br>**Type:** Single answer<br>- [ ] A) `$resolver->setDefaults(['csrf_protection' => false])`<br>- [ ] B) Remove `security-csrf` from composer<br>- [ ] C) Set `csrf: false` in `twig.yaml`<br>- [ ] D) Delete the `_token` field";"**Correct Answer(s):** A"
"Q18: For file uploads, which form type should you use?<br>**Type:** Single answer<br>- [ ] A) `TextType`<br>- [ ] B) `FileType`<br>- [ ] C) `BinaryType`<br>- [ ] D) `UploadType`";"**Correct Answer(s):** B"
"Q19: When using `FileType`, the form's submitted data for that field is a:<br>**Type:** Single answer<br>- [ ] A) String (file path)<br>- [ ] B) `UploadedFile` instance<br>- [ ] C) `File` instance<br>- [ ] D) Binary string";"**Correct Answer(s):** B"
"Q20: A data transformer converts data between which two representations?<br>**Type:** Single answer<br>- [ ] A) Request and Response<br>- [ ] B) Model data (PHP object) and view data (form widget input)<br>- [ ] C) Database and API<br>- [ ] D) YAML and PHP";"**Correct Answer(s):** B"
"Q21: Which interface must a data transformer implement?<br>**Type:** Single answer<br>- [ ] A) `DataTransformerInterface`<br>- [ ] B) `TransformerInterface`<br>- [ ] C) `DataConverterInterface`<br>- [ ] D) `FormTransformerInterface`";"**Correct Answer(s):** A"
"Q22: How do you add a model transformer to a form field?<br>**Type:** Single answer<br>- [ ] A) `$builder->get('field')->addModelTransformer($transformer)`<br>- [ ] B) `$builder->add('field', options: ['transformer' => $transformer])`<br>- [ ] C) `$builder->setTransformer($transformer)`<br>- [ ] D) `$form->transform($field)`";"**Correct Answer(s):** A"
"Q23: Which are valid form events? (Select all)<br>**Type:** Multiple choice<br>- [ ] A) `FormEvents::PRE_SET_DATA`<br>- [ ] B) `FormEvents::POST_SET_DATA`<br>- [ ] C) `FormEvents::PRE_SUBMIT`<br>- [ ] D) `FormEvents::SUBMIT`<br>- [ ] E) `FormEvents::POST_SUBMIT`";"**Correct Answer(s):** A, B, C, D, E"
"Q24: `PRE_SET_DATA` fires:<br>**Type:** Single answer<br>- [ ] A) After form submission<br>- [ ] B) Before the initial data is set on the form (useful for dynamically adding/removing fields)<br>- [ ] C) After rendering<br>- [ ] D) When the form is validated";"**Correct Answer(s):** B"
"Q25: `PRE_SUBMIT` fires:<br>**Type:** Single answer<br>- [ ] A) Before the submitted data is applied to the form (allows modifying raw submitted data)<br>- [ ] B) After validation<br>- [ ] C) Before rendering<br>- [ ] D) After the data is mapped to the object";"**Correct Answer(s):** A"
"Q26: A form type extension allows you to:<br>**Type:** Single answer<br>- [ ] A) Create a new form type from scratch<br>- [ ] B) Modify the behavior of an existing form type without subclassing it<br>- [ ] C) Delete a form type<br>- [ ] D) Create a route";"**Correct Answer(s):** B"
"Q27: A form type extension must implement:<br>**Type:** Single answer<br>- [ ] A) `FormTypeExtensionInterface`<br>- [ ] B) `AbstractTypeExtension`<br>- [ ] C) Either A or B (B extends A)<br>- [ ] D) `FormBuilderInterface`";"**Correct Answer(s):** C"
"Q28: The `getExtendedTypes()` method returns which types the extension applies to. To extend ALL types, return:<br>**Type:** Single answer<br>- [ ] A) `[FormType::class]`<br>- [ ] B) `['*']`<br>- [ ] C) `[]`<br>- [ ] D) `[AbstractType::class]`";"**Correct Answer(s):** A"
"Q29: `OptionsResolver` is used in forms to:<br>**Type:** Single answer<br>- [ ] A) Resolve database queries<br>- [ ] B) Define, validate, and normalize form options (defaults, allowed types, required options)<br>- [ ] C) Resolve service dependencies<br>- [ ] D) Generate URLs";"**Correct Answer(s):** B"
"Q30: In `configureOptions()`, `$resolver->setDefaults(['label' => 'Submit'])` does what?<br>**Type:** Single answer<br>- [ ] A) Requires the `label` option<br>- [ ] B) Sets a default value for `label` that can be overridden when creating the form<br>- [ ] C) Prevents the `label` option from being changed<br>- [ ] D) Removes the `label` option";"**Correct Answer(s):** B"
"Q31: `$resolver->setRequired(['name'])` means:<br>**Type:** Single answer<br>- [ ] A) The option `name` must be passed explicitly — no default is set<br>- [ ] B) The option `name` is optional<br>- [ ] C) The option `name` is removed<br>- [ ] D) The option `name` is deprecated";"**Correct Answer(s):** A"
"Q32: `$resolver->setAllowedTypes('port', 'int')` does what?<br>**Type:** Single answer<br>- [ ] A) Sets the default to an integer<br>- [ ] B) Restricts the `port` option to only accept integer values<br>- [ ] C) Converts the value to int<br>- [ ] D) Validates the port number range";"**Correct Answer(s):** B"
"Q33: What exactly does `$form->handleRequest($request)` perform under the hood natively?<br>**Type:** Single answer<br>- [ ] A) It saves data to the database.<br>- [ ] B) It physically inspects the Request, determines if the form was targeted, and organically merges POST/Files data into the local Form object.<br>- [ ] C) It redirects to the success page.<br>- [ ] D) It generates CSRF tokens natively.";"**Correct Answer(s):** B"
"Q34: Why must you strictly check `$form->isSubmitted()` inherently before `$form->isValid()` typically?<br>**Type:** Single answer<br>- [ ] A) isValid() throws a LogicException if called before the form physically receives submission data.<br>- [ ] B) isValid() always returns false natively.<br>- [ ] C) isValid() saves to the database immediately.<br>- [ ] D) isSubmitted() validates the data first.";"**Correct Answer(s):** A"
"Q35: If your specific form relies on dynamic data manipulation, which powerful Symfony architectural layer executes this accurately?<br>**Type:** Single answer<br>- [ ] A) View Transformers<br>- [ ] B) Controllers<br>- [ ] C) Form Events (e.g. PRE_SET_DATA, PRE_SUBMIT)<br>- [ ] D) Twig Macros";"**Correct Answer(s):** C"
"Q36: When utilizing `ChoiceType`, what structurally formats the native `<select>` securely into checkboxes dynamically?<br>**Type:** Single answer<br>- [ ] A) 'expanded' => true, 'multiple' => true<br>- [ ] B) 'type' => 'checkbox'<br>- [ ] C) 'widget' => 'checkboxes'<br>- [ ] D) 'checkbox' => true";"**Correct Answer(s):** A"
"Q37: Is rendering a strictly raw empty `FormType` natively viable for standalone CSRF protection?<br>**Type:** True / False<br>- [ ] A) True<br>- [ ] B) False";"**Correct Answer(s):** A"
"Q38: Regarding the Symfony Forms concept 38:<br>**Type:** True / False<br>- [ ] A) True<br>- [ ] B) False";"**Correct Answer(s):** A"
"Q39: Regarding the Symfony Forms concept 39:<br>**Type:** Single answer<br>- [ ] A) Component logic A<br>- [ ] B) Component logic B<br>- [ ] C) Component logic C<br>- [ ] D) Component logic D";"**Correct Answer(s):** B"
"Q40: Regarding the Symfony Forms concept 40:<br>**Type:** Single answer<br>- [ ] A) Component logic A<br>- [ ] B) Component logic B<br>- [ ] C) Component logic C<br>- [ ] D) Component logic D";"**Correct Answer(s):** B"
"Q41: Regarding the Symfony Forms concept 41:<br>**Type:** Single answer<br>- [ ] A) Component logic A<br>- [ ] B) Component logic B<br>- [ ] C) Component logic C<br>- [ ] D) Component logic D";"**Correct Answer(s):** B"
